participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
24,0.0,1.0,0.5,6,10,8.5,0,0,0.0,0,0.0,0.0,0.0
9,0.0,1.0,0.0,7,83,27.714285714285715,2,15,14.5,0,0.0,0.0,0.0
13,0.0,1.0,0.5,4,107,50.0,1,18,18.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,4,152,54.25,0,0,0.0,1,9.0,3.0775082742496638,20.118613255217902
1,1.0,1.0,1.0,6,35,18.166666666666668,1,12,12.0,0,0.0,0.0,0.0
8,1.0,1.0,0.5,14,31,12.285714285714286,0,0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,7,50,29.428571428571427,1,17,17.0,0,0.0,0.0,0.0
13,0.0,1.0,0.0,6,38,24.0,1,111,111.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,9,63,21.444444444444443,1,7,7.0,0,0.0,0.0,0.0
22,1.0,1.0,0.5,7,45,21.142857142857142,1,22,22.0,0,0.0,0.0,0.0
18,1.0,1.0,1.0,5,78,36.6,0,0,0.0,1,12.5,8.291938736149785,12.09117015068908
8,1.0,1.0,0.0,7,18,12.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,6,18,10.666666666666666,1,30,30.0,0,0.0,0.0,0.0
1,1.0,1.0,1.0,4,94,41.75,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,3,103,61.666666666666664,1,103,103.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,6,27,14.0,0,0,0.0,0,0.0,0.0,0.0
12,0.0,1.0,0.5,14,21,11.571428571428571,0,0,0.0,0,0.0,0.0,0.0
22,0.0,1.0,0.5,9,55,22.0,1,24,24.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,4,89,50.0,0,0,0.0,1,9.0,4.540387258661095,11.613705442998967
15,0.0,1.0,0.5,6,34,18.666666666666668,1,12,12.0,0,0.0,0.0,0.0
9,0.0,1.0,0.0,11,37,16.727272727272727,1,15,15.0,0,0.0,0.0,0.0
7,0.0,1.0,0.5,3,155,69.0,1,23,23.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,7,19,11.571428571428571,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,0.0,9,26,12.777777777777779,0,0,0.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,8,34,15.25,0,0,0.0,1,11.0,2.714410910260969,19.31677631662614
4,1.0,1.0,0.5,9,40,15.555555555555555,1,17,17.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,11,37,11.272727272727273,0,0,0.0,0,0.0,0.0,0.0
12,1.0,1.0,1.0,4,63,39.75,0,0,0.0,0,0.0,0.0,0.0
8,1.0,1.0,1.0,11,45,16.545454545454547,0,0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,12,30,14.916666666666666,0,0,0.0,1,9.0,3.3696729139570936,22.092627026754755
6,0.0,1.0,0.0,5,68,35.8,1,18,18.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,10,34,13.6,0,0,0.0,0,0.0,0.0,0.0
14,1.0,1.0,0.5,7,52,19.714285714285715,2,20,17.0,0,0.0,0.0,0.0
24,1.0,1.0,0.5,13,19,12.23076923076923,0,0,0.0,0,0.0,0.0,0.0
3,1.0,1.0,1.0,9,39,12.555555555555555,1,17,17.0,0,0.0,0.0,0.0
13,1.0,1.0,1.0,7,31,15.714285714285714,1,24,24.0,0,0.0,0.0,0.0
18,1.0,1.0,1.0,9,13,9.666666666666666,0,0,0.0,0,0.0,0.0,0.0
21,0.0,1.0,0.5,11,43,18.0,0,0,0.0,0,0.0,0.0,0.0
1,1.0,1.0,1.0,4,58,26.25,1,116,116.0,2,9.25,5.051117099555844,19.992060666966037
4,1.0,1.0,1.0,12,25,12.833333333333334,0,0,0.0,0,0.0,0.0,0.0
6,0.0,1.0,0.5,4,92,57.5,0,0,0.0,1,7.5,3.0996620934037287,6.56485524647851
1,1.0,1.0,1.0,4,42,22.25,0,0,0.0,1,6.5,6.919581092293525,27.202545875895183
13,1.0,1.0,1.0,8,30,20.0,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,7,22,10.285714285714286,0,0,0.0,0,0.0,0.0,0.0
