participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
14,0.0,0.0,,6,25,13.833333333333334,1,21,21.0,0,0.0,0.0,0.0
7,0.0,0.0,,4,34,23.0,0,0,0.0,0,0.0,0.0,0.0
15,1.0,0.0,,5,18,12.4,1,39,39.0,0,0.0,0.0,0.0
16,0.0,0.0,,4,20,13.75,1,25,25.0,0,0.0,0.0,0.0
21,0.0,0.0,,1,47,47.0,1,28,28.0,0,0.0,0.0,0.0
17,1.0,0.0,,3,57,25.0,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,5,16,12.4,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,4,9,8.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,6,17,10.166666666666666,0,0,0.0,1,7.0,3.414574670219248,14.766169931416748
25,0.0,0.0,,5,22,13.8,1,57,57.0,0,0.0,0.0,0.0
17,1.0,0.0,,4,26,15.0,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,5,16,10.8,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,2,30,20.5,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,3,15,10.333333333333334,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,6,22,14.833333333333334,0,0,0.0,1,8.0,3.5295043921981852,20.80239875788746
3,0.0,0.0,,4,25,19.0,1,49,49.0,0,0.0,0.0,0.0
17,1.0,0.0,,4,53,23.25,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,3,29,16.666666666666668,0,0,0.0,0,0.0,0.0,0.0
21,0.0,0.0,,2,54,43.5,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,2,17,12.0,1,22,22.0,0,0.0,0.0,0.0
15,0.0,0.0,,3,27,16.333333333333332,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,3,41,27.333333333333332,1,30,30.0,0,0.0,0.0,0.0
21,0.0,0.0,,5,36,20.6,1,4,4.0,0,0.0,0.0,0.0
21,0.0,0.0,,6,27,14.166666666666666,1,24,24.0,0,0.0,0.0,0.0
13,1.0,0.0,,2,13,10.5,1,23,23.0,0,0.0,0.0,0.0
6,0.0,0.0,,2,21,19.5,1,72,72.0,0,0.0,0.0,0.0
13,0.0,0.0,,3,38,34.0,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,42,42.0,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,2,32,23.5,1,81,81.0,0,0.0,0.0,0.0
23,0.0,0.0,,4,63,27.5,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,3,25,22.0,1,30,30.0,0,0.0,0.0,0.0
24,1.0,0.0,,4,22,15.75,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,2,42,34.0,0,0,0.0,0,0.0,0.0,0.0
9,1.0,0.0,,3,35,21.0,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,6,18,10.0,0,0,0.0,1,7.0,3.303674431065903,18.329181875526054
19,0.0,0.0,,7,33,13.142857142857142,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,3,45,28.0,1,22,22.0,0,0.0,0.0,0.0
13,1.0,0.0,,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,2,41,35.5,1,18,18.0,0,0.0,0.0,0.0
18,1.0,0.0,,2,65,44.5,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,1,28,28.0,1,19,19.0,1,10.0,5.57414860040645,23.465999847687044
23,0.0,0.0,,5,25,14.6,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,5,29,17.8,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,8,27,12.625,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,7,19,12.285714285714286,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,2,65,38.0,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,6,23,18.0,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,4,35,17.75,1,35,35.0,0,0.0,0.0,0.0
24,1.0,0.0,,3,42,30.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,4,32,20.25,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,6,16,11.333333333333334,1,53,53.0,0,0.0,0.0,0.0
19,1.0,0.0,,3,22,18.0,1,10,10.0,0,0.0,0.0,0.0
14,0.0,0.0,,4,39,19.75,1,20,20.0,0,0.0,0.0,0.0
4,0.0,0.0,,5,21,14.2,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,3,42,23.0,1,43,43.0,0,0.0,0.0,0.0
2,0.0,0.0,,4,10,8.25,1,27,27.0,0,0.0,0.0,0.0
24,0.0,0.0,,3,77,33.333333333333336,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,4,38,19.0,1,5,5.0,0,0.0,0.0,0.0
24,0.0,0.0,,2,24,17.0,0,0,0.0,0,0.0,0.0,0.0
8,1.0,0.0,,5,21,17.6,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,4,12,10.0,1,17,17.0,0,0.0,0.0,0.0
4,0.0,0.0,,6,19,12.0,0,0,0.0,0,0.0,0.0,0.0
