participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
9,1.0,1.0,1.0,14,49,17.785714285714285
23,0.0,1.0,0.5,7,26,11.428571428571429
22,1.0,1.0,1.0,20,58,14.15
14,0.0,1.0,0.5,11,45,20.454545454545453
14,1.0,1.0,1.0,12,71,25.5
15,1.0,1.0,1.0,15,31,16.933333333333334
13,1.0,1.0,1.0,14,110,18.857142857142858
21,1.0,1.0,0.5,9,79,35.44444444444444
3,0.0,1.0,0.5,15,46,13.933333333333334
7,1.0,1.0,1.0,6,117,52.5
5,1.0,1.0,1.0,11,120,25.727272727272727
9,1.0,1.0,1.0,11,46,23.636363636363637
4,0.0,1.0,0.5,12,58,15.083333333333334
21,1.0,1.0,1.0,11,60,22.09090909090909
7,0.0,1.0,0.5,3,231,108.33333333333333
22,1.0,1.0,1.0,11,71,28.363636363636363
1,1.0,1.0,1.0,9,47,20.88888888888889
6,0.0,1.0,0.5,12,71,22.416666666666668
1,0.0,1.0,0.0,11,33,12.636363636363637
23,1.0,1.0,1.0,9,56,19.0
14,1.0,1.0,1.0,9,108,32.666666666666664
14,0.0,1.0,0.5,13,41,17.923076923076923
23,1.0,1.0,0.0,6,68,41.5
6,1.0,1.0,1.0,9,103,27.77777777777778
17,1.0,1.0,0.5,23,16,10.434782608695652
2,0.0,1.0,0.5,16,34,13.5625
18,1.0,1.0,1.0,11,64,23.454545454545453
10,1.0,1.0,0.0,10,38,28.5
7,0.0,1.0,0.5,5,209,67.6
3,0.0,1.0,0.5,16,42,15.3125
24,1.0,1.0,1.0,12,38,15.25
14,0.0,1.0,0.5,12,46,17.083333333333332
6,1.0,1.0,1.0,13,57,18.153846153846153
23,1.0,1.0,1.0,12,74,20.833333333333332
18,0.0,1.0,0.0,13,31,13.615384615384615
16,0.0,1.0,0.0,18,20,10.61111111111111
13,0.0,1.0,0.5,7,83,29.285714285714285
26,1.0,1.0,0.5,8,146,41.5
14,0.0,1.0,0.5,18,60,16.055555555555557
17,1.0,1.0,1.0,7,51,24.714285714285715
