participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
13,1.0,0.0,,1,16,16.0
8,1.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
26,0.0,0.0,,0,0,0.0
15,0.0,0.0,,0,0,0.0
26,0.0,0.0,,0,0,0.0
15,1.0,0.0,,1,63,63.0
13,1.0,0.0,,1,31,31.0
13,0.0,0.0,,0,0,0.0
24,0.0,0.0,,1,21,21.0
5,0.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,9,9.0
16,0.0,0.0,,0,0,0.0
14,0.0,0.0,,1,122,122.0
6,0.0,0.0,,0,0,0.0
10,1.0,0.0,,1,20,20.0
18,1.0,0.0,,1,9,9.0
23,0.0,0.0,,0,0,0.0
5,0.0,0.0,,0,0,0.0
21,1.0,0.0,,1,32,32.0
23,0.0,0.0,,0,0,0.0
7,1.0,0.0,,1,23,23.0
2,1.0,0.0,,0,0,0.0
6,0.0,0.0,,0,0,0.0
22,0.0,0.0,,0,0,0.0
25,0.0,0.0,,1,15,15.0
12,1.0,0.0,,0,0,0.0
21,0.0,0.0,,1,102,102.0
26,0.0,0.0,,0,0,0.0
17,1.0,0.0,,1,15,15.0
18,1.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
3,0.0,0.0,,1,11,11.0
15,0.0,0.0,,1,169,169.0
24,1.0,0.0,,0,0,0.0
14,0.0,0.0,,1,20,20.0
1,1.0,0.0,,0,0,0.0
16,0.0,0.0,,1,36,36.0
3,0.0,0.0,,1,16,16.0
23,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
13,0.0,0.0,,1,24,24.0
14,0.0,0.0,,1,18,18.0
24,1.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
2,0.0,0.0,,1,21,21.0
14,0.0,0.0,,1,20,20.0
23,0.0,0.0,,1,47,47.0
21,1.0,0.0,,0,0,0.0
8,1.0,0.0,,0,0,0.0
23,0.0,0.0,,1,46,46.0
16,0.0,0.0,,1,38,38.0
6,0.0,0.0,,1,16,16.0
19,0.0,0.0,,2,27,26.0
3,0.0,0.0,,1,14,14.0
14,0.0,0.0,,1,33,33.0
14,0.0,0.0,,0,0,0.0
25,0.0,0.0,,2,19,17.5
1,1.0,0.0,,1,18,18.0
9,1.0,0.0,,1,16,16.0
17,1.0,0.0,,0,0,0.0
3,0.0,0.0,,1,16,16.0
8,1.0,0.0,,1,15,15.0
10,1.0,0.0,,2,10,7.0
3,0.0,0.0,,1,201,201.0
17,1.0,0.0,,0,0,0.0
3,1.0,0.0,,2,17,12.0
2,1.0,0.0,,2,12,9.0
4,0.0,0.0,,0,0,0.0
5,0.0,0.0,,0,0,0.0
9,0.0,0.0,,1,26,26.0
19,0.0,0.0,,0,0,0.0
3,1.0,0.0,,1,17,17.0
19,1.0,0.0,,1,6,6.0
24,1.0,0.0,,1,27,27.0
25,0.0,0.0,,1,17,17.0
16,1.0,0.0,,1,5,5.0
1,1.0,0.0,,1,41,41.0
10,1.0,0.0,,1,20,20.0
24,0.0,0.0,,2,34,30.0
24,0.0,0.0,,1,27,27.0
17,1.0,0.0,,0,0,0.0
6,0.0,0.0,,1,72,72.0
8,1.0,0.0,,0,0,0.0
6,0.0,0.0,,0,0,0.0
19,0.0,0.0,,0,0,0.0
9,1.0,0.0,,2,16,9.5
6,0.0,0.0,,1,99,99.0
18,1.0,0.0,,1,5,5.0
9,1.0,0.0,,1,63,63.0
18,1.0,0.0,,0,0,0.0
18,1.0,0.0,,1,8,8.0
17,1.0,0.0,,0,0,0.0
9,1.0,0.0,,1,15,15.0
25,0.0,0.0,,1,35,35.0
3,0.0,0.0,,0,0,0.0
14,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,9,9.0
4,0.0,0.0,,0,0,0.0
3,0.0,0.0,,0,0,0.0
19,1.0,0.0,,1,16,16.0
13,1.0,0.0,,1,23,23.0
25,0.0,0.0,,1,19,19.0
24,1.0,0.0,,0,0,0.0
24,0.0,0.0,,1,21,21.0
22,0.0,0.0,,1,16,16.0
6,0.0,0.0,,0,0,0.0
1,1.0,0.0,,1,41,41.0
22,0.0,0.0,,2,23,17.0
13,0.0,0.0,,1,24,24.0
22,0.0,0.0,,2,28,27.0
12,1.0,0.0,,1,39,39.0
9,0.0,0.0,,1,16,16.0
1,1.0,0.0,,0,0,0.0
9,0.0,0.0,,2,23,20.5
25,0.0,0.0,,1,23,23.0
16,0.0,0.0,,1,36,36.0
4,0.0,0.0,,0,0,0.0
17,1.0,0.0,,0,0,0.0
25,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,9,9.0
23,0.0,0.0,,0,0,0.0
19,0.0,0.0,,0,0,0.0
18,1.0,0.0,,0,0,0.0
17,1.0,0.0,,0,0,0.0
5,0.0,0.0,,0,0,0.0
8,1.0,0.0,,1,15,15.0
7,1.0,0.0,,0,0,0.0
3,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
6,0.0,0.0,,1,72,72.0
19,0.0,0.0,,1,18,18.0
4,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,8,8.0
18,1.0,0.0,,0,0,0.0
6,0.0,0.0,,1,30,30.0
24,1.0,0.0,,0,0,0.0
19,1.0,0.0,,0,0,0.0
13,0.0,0.0,,1,24,24.0
25,0.0,0.0,,1,213,213.0
4,0.0,0.0,,1,21,21.0
23,0.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
17,1.0,0.0,,1,19,19.0
24,1.0,0.0,,0,0,0.0
