participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,0.2138500213623047,22.35094904899597,-0.020889362246081716,-0.5924628376960754,-0.5924628376960754,-0.5937561988830566,31,3,7.666666666666667,10.965629370401816,37.79853152175807,0,0.0,0.0,0.0
15,0.0,0.0,,0.03730010986328125,21.680700063705444,-0.010577662439630292,-1.329834222793579,-1.329834222793579,-1.2430999279022217,1,3,18.333333333333332,28.944648508081325,168.23144548293826,0,0.0,0.0,0.0
25,0.0,0.0,,0.25490009784698486,4.658699989318848,-0.005523212967034614,-0.07407691947415344,-0.07407691947415344,-0.031703746318817116,18,1,43.0,48.343840801426374,240.1539954725113,0,0.0,0.0,0.0
14,0.0,0.0,,0.9379501342773438,0.03704977035522461,0.007400853507148506,0.4682944715023041,0.4682944715023041,0.4378125071525574,101,1,6.0,28.45038837945063,122.18746156675132,0,0.0,0.0,0.0
7,1.0,0.0,,0.2441997528076172,0.0209503173828125,0.0009366689859310314,0.13434582948684692,0.13434582948684692,0.13420599699020386,37,1,116.0,7.67152207191593,41.95263837224868,0,0.0,0.0,0.0
9,0.0,0.0,,0.0,8.2434983253479,-0.0033054878279053382,-0.35301315784454346,-0.35301315784454346,-0.33443111181259155,0,1,16.0,19.04150528739887,54.957232500602984,0,0.0,0.0,0.0
18,1.0,0.0,,0.14155006408691406,1.8646492958068848,0.0006040419933973828,0.002641922328621149,0.002641922328621149,-0.011706233024597168,108,1,31.0,13.392971485783029,40.998279473511474,0,0.0,0.0,0.0
21,1.0,0.0,,0.5286502838134766,0.615147590637207,0.0054323683252517395,0.27159765362739563,0.27159765362739563,0.2507314085960388,115,1,7.0,22.639288769577465,57.20402801460492,0,0.0,0.0,0.0
5,0.0,0.0,,0.644831592386419,1.18815016746521,0.0002505792700604263,0.03664483066298004,0.03664483066298004,0.003681463433459542,92,2,9.0,26.98896107294372,142.68551800663514,0,0.0,0.0,0.0
17,1.0,0.0,,0.2504000663757324,0.10935020446777344,0.0020744021238392686,0.09647175669670105,0.09647175669670105,0.095356285572052,112,0,0.0,0.0,0.0,1,7.0,3.9265991967694953,22.768128350495964
