participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
24,1.0,1.0,0.5,11,39,17.818181818181817,0,0,0.0
2,1.0,1.0,1.0,7,26,16.285714285714285,2,25,22.5
4,1.0,1.0,1.0,12,20,11.916666666666666,0,0,0.0
13,1.0,1.0,1.0,7,23,18.714285714285715,1,12,12.0
21,1.0,1.0,0.0,4,59,45.5,1,25,25.0
2,1.0,1.0,0.0,9,29,13.444444444444445,1,29,29.0
26,1.0,1.0,1.0,6,82,23.666666666666668,0,0,0.0
26,1.0,1.0,1.0,6,67,31.5,0,0,0.0
21,0.0,1.0,1.0,6,27,15.666666666666666,1,169,169.0
23,0.0,1.0,0.5,8,27,14.0,0,0,0.0
6,0.0,1.0,0.5,11,47,15.545454545454545,0,0,0.0
6,1.0,1.0,1.0,3,154,66.0,2,26,23.5
3,1.0,1.0,1.0,10,63,17.9,0,0,0.0
24,0.0,1.0,0.5,10,29,10.7,0,0,0.0
3,0.0,1.0,0.5,7,46,27.285714285714285,0,0,0.0
9,1.0,1.0,0.5,8,76,23.25,1,142,142.0
4,1.0,1.0,0.5,10,45,13.9,0,0,0.0
6,0.0,1.0,0.5,11,29,15.0,0,0,0.0
2,1.0,1.0,1.0,12,18,11.333333333333334,0,0,0.0
9,1.0,1.0,1.0,5,83,31.8,1,13,13.0
22,1.0,1.0,1.0,12,42,15.5,1,28,28.0
15,1.0,1.0,1.0,10,31,20.6,1,34,34.0
18,1.0,1.0,1.0,4,57,31.5,0,0,0.0
26,1.0,1.0,1.0,9,45,22.333333333333332,0,0,0.0
25,1.0,1.0,1.0,8,40,20.5,0,0,0.0
23,1.0,1.0,1.0,3,80,40.0,0,0,0.0
23,0.0,1.0,0.5,6,25,14.5,0,0,0.0
17,0.0,1.0,0.5,5,37,21.8,0,0,0.0
15,0.0,1.0,0.5,8,46,17.875,0,0,0.0
5,1.0,1.0,0.5,10,31,15.0,1,36,36.0
13,1.0,1.0,1.0,6,92,30.666666666666668,1,24,24.0
1,1.0,1.0,1.0,13,28,11.076923076923077,0,0,0.0
3,1.0,1.0,1.0,9,51,23.0,1,4,4.0
4,0.0,1.0,0.5,8,16,10.75,0,0,0.0
4,0.0,1.0,0.5,10,19,9.4,0,0,0.0
23,0.0,1.0,0.0,3,21,15.0,0,0,0.0
14,0.0,1.0,0.5,6,56,34.5,1,44,44.0
1,1.0,1.0,1.0,10,43,19.7,1,18,18.0
17,0.0,1.0,0.5,11,25,12.181818181818182,0,0,0.0
19,1.0,1.0,1.0,2,179,101.0,0,0,0.0
14,1.0,1.0,0.5,10,32,18.6,0,0,0.0
24,1.0,1.0,1.0,8,36,19.25,1,33,33.0
23,0.0,1.0,0.5,6,63,25.0,1,8,8.0
15,1.0,1.0,0.5,8,45,23.625,1,51,51.0
