participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
14,0.0,0.0,,9,29,21.0,0,0,0.0
3,1.0,0.0,,5,86,40.4,1,22,22.0
24,0.0,0.0,,10,47,16.2,1,27,27.0
14,0.0,0.0,,7,63,23.428571428571427,1,122,122.0
13,1.0,0.0,,1,157,157.0,0,0,0.0
7,0.0,0.0,,5,65,39.0,0,0,0.0
22,0.0,0.0,,8,37,19.75,1,28,28.0
5,0.0,0.0,,4,141,51.0,1,28,28.0
23,0.0,0.0,,6,57,26.5,1,45,45.0
2,1.0,0.0,,5,67,41.8,0,0,0.0
4,0.0,0.0,,4,83,55.5,0,0,0.0
23,0.0,0.0,,6,15,9.666666666666666,0,0,0.0
7,0.0,0.0,,5,73,41.6,0,0,0.0
3,0.0,0.0,,7,30,17.0,1,17,17.0
9,0.0,0.0,,6,50,35.0,1,22,22.0
14,0.0,0.0,,8,36,24.25,1,41,41.0
1,1.0,0.0,,10,73,18.3,0,0,0.0
23,0.0,0.0,,6,58,22.0,1,46,46.0
1,1.0,0.0,,11,38,15.909090909090908,0,0,0.0
21,0.0,0.0,,4,84,48.25,1,23,23.0
17,1.0,0.0,,9,37,18.77777777777778,0,0,0.0
12,0.0,0.0,,15,22,10.733333333333333,0,0,0.0
10,1.0,0.0,,13,58,15.153846153846153,0,0,0.0
3,1.0,0.0,,12,40,15.25,0,0,0.0
23,0.0,0.0,,4,107,36.75,0,0,0.0
3,0.0,0.0,,9,39,14.11111111111111,1,16,16.0
7,0.0,0.0,,7,56,29.0,0,0,0.0
13,0.0,0.0,,7,45,30.428571428571427,1,8,8.0
17,1.0,0.0,,5,57,43.6,0,0,0.0
14,0.0,0.0,,5,39,31.6,0,0,0.0
4,0.0,0.0,,10,19,11.0,0,0,0.0
14,0.0,0.0,,7,65,23.714285714285715,1,20,20.0
23,0.0,0.0,,6,27,14.0,1,56,56.0
24,0.0,0.0,,10,26,13.1,1,27,27.0
14,0.0,0.0,,8,39,25.625,0,0,0.0
7,0.0,0.0,,5,81,43.8,1,3,3.0
17,1.0,0.0,,6,32,20.0,0,0,0.0
12,1.0,0.0,,12,41,14.666666666666666,1,38,38.0
22,0.0,0.0,,8,65,25.875,1,2,2.0
2,1.0,0.0,,9,60,18.77777777777778,1,23,23.0
5,0.0,0.0,,14,15,10.071428571428571,0,0,0.0
4,0.0,0.0,,8,42,12.75,0,0,0.0
3,0.0,0.0,,8,30,16.5,1,17,17.0
6,0.0,0.0,,9,39,18.666666666666668,1,22,22.0
14,0.0,0.0,,9,39,21.555555555555557,0,0,0.0
24,0.0,0.0,,8,114,26.125,0,0,0.0
3,1.0,0.0,,6,47,28.0,1,143,143.0
2,1.0,0.0,,6,64,36.666666666666664,0,0,0.0
19,1.0,0.0,,3,202,75.0,1,5,5.0
24,1.0,0.0,,10,45,19.1,0,0,0.0
6,0.0,0.0,,3,141,63.666666666666664,1,15,15.0
2,1.0,0.0,,3,122,76.33333333333333,0,0,0.0
14,0.0,0.0,,7,53,29.0,1,25,25.0
12,0.0,0.0,,12,39,17.166666666666668,0,0,0.0
19,1.0,0.0,,10,22,14.3,1,10,10.0
26,0.0,0.0,,8,33,14.25,0,0,0.0
3,0.0,0.0,,9,33,17.333333333333332,1,212,212.0
7,1.0,0.0,,4,55,34.0,1,26,26.0
5,0.0,0.0,,9,70,18.77777777777778,1,3,3.0
8,1.0,0.0,,9,30,13.444444444444445,0,0,0.0
18,1.0,0.0,,4,15,11.25,1,15,15.0
21,0.0,0.0,,2,45,43.5,1,21,21.0
17,1.0,0.0,,10,26,11.4,1,46,46.0
22,0.0,0.0,,12,60,15.833333333333334,2,23,16.0
4,0.0,0.0,,4,83,47.0,0,0,0.0
4,0.0,0.0,,8,33,10.875,0,0,0.0
23,0.0,0.0,,8,32,14.625,0,0,0.0
23,0.0,0.0,,4,95,42.0,0,0,0.0
15,1.0,0.0,,9,33,18.11111111111111,1,42,42.0
23,0.0,0.0,,2,132,94.0,0,0,0.0
5,0.0,0.0,,6,91,35.5,0,0,0.0
15,0.0,0.0,,9,33,14.222222222222221,1,16,16.0
19,1.0,0.0,,6,22,16.5,1,86,86.0
15,0.0,0.0,,8,30,18.75,1,16,16.0
22,0.0,0.0,,9,46,23.22222222222222,1,39,39.0
24,0.0,0.0,,3,59,45.333333333333336,1,34,34.0
22,0.0,0.0,,2,138,94.5,0,0,0.0
25,0.0,0.0,,7,20,13.142857142857142,1,19,19.0
24,0.0,0.0,,7,63,24.285714285714285,0,0,0.0
23,0.0,0.0,,10,15,10.4,0,0,0.0
8,1.0,0.0,,9,30,15.11111111111111,0,0,0.0
24,1.0,0.0,,9,35,18.333333333333332,0,0,0.0
9,1.0,0.0,,5,101,31.4,1,18,18.0
26,0.0,0.0,,8,33,15.0,0,0,0.0
23,0.0,0.0,,5,42,20.8,1,56,56.0
24,0.0,0.0,,11,42,13.0,0,0,0.0
4,0.0,0.0,,12,21,12.333333333333334,0,0,0.0
