participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
7,1.0,1.0,1.0,1,19,19.0,2,20.5,7.816969348766709,19.392322260874966,1,8.5,6.805403100720681,10.44268709127314
17,1.0,1.0,1.0,1,15,15.0,4,15.0,19.49174205842523,89.02121636493953,1,8.0,4.044955737303578,23.763839503399083
5,1.0,1.0,0.5,1,16,16.0,2,20.0,24.529326535997697,147.502628618772,1,8.0,2.71267622172278,13.63363783260256
4,1.0,1.0,0.5,0,0,0.0,5,13.6,27.241092537841308,107.71332455336228,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0,0.0,5,27.2,31.073160136768074,228.33250544485972,0,0.0,0.0,0.0
3,0.0,1.0,0.5,1,13,13.0,4,15.5,24.751332270269497,143.45214284711255,0,0.0,0.0,0.0
1,1.0,1.0,1.0,0,0,0.0,3,58.666666666666664,19.137895484868626,168.9884874889032,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0,0,0.0,3,10.333333333333334,24.178542710639963,126.46247355748842,0,0.0,0.0,0.0
8,1.0,1.0,1.0,0,0,0.0,3,14.333333333333334,10.463186176324728,63.8747492231818,0,0.0,0.0,0.0
5,1.0,1.0,0.5,1,13,13.0,2,16.0,3.6707023198245317,23.022738604030724,0,0.0,0.0,0.0
18,0.0,1.0,0.5,0,0,0.0,6,22.833333333333332,26.341652338363588,130.6348320337189,0,0.0,0.0,0.0
6,0.0,1.0,0.0,1,100,100.0,3,18.333333333333332,4.3448497142130735,12.378327796531392,1,10.0,3.303576837433491,10.749616453514403
24,0.0,1.0,0.5,1,3,3.0,4,46.0,47.91278044254939,372.35267451748393,0,0.0,0.0,0.0
9,0.0,1.0,0.0,1,14,14.0,2,35.5,4.701206899999711,22.666466194493815,0,0.0,0.0,0.0
13,0.0,1.0,0.5,1,18,18.0,1,100.0,10.760495535523509,195.84049573782264,0,0.0,0.0,0.0
14,1.0,1.0,1.0,0,0,0.0,1,23.0,19.50570500983015,58.12830042162861,0,0.0,0.0,0.0
1,1.0,1.0,1.0,1,12,12.0,3,34.0,17.16008013446314,103.8816533372903,0,0.0,0.0,0.0
7,1.0,1.0,1.0,1,28,28.0,2,24.5,1.3947354052550325,7.76042722368044,0,0.0,0.0,0.0
8,1.0,1.0,0.5,0,0,0.0,2,29.0,17.96673753838959,114.07087142283255,0,0.0,0.0,0.0
24,0.0,1.0,0.5,1,17,17.0,4,23.75,17.300140954233456,140.27669469286548,0,0.0,0.0,0.0
13,0.0,1.0,0.0,1,111,111.0,5,19.0,11.991914916708774,57.763372058321444,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0,0.0,3,20.333333333333332,19.18009366866644,88.75362832792975,0,0.0,0.0,0.0
9,0.0,1.0,0.5,1,20,20.0,3,10.333333333333334,19.7101357182239,78.41010010184853,0,0.0,0.0,0.0
22,1.0,1.0,0.5,1,22,22.0,4,14.0,10.343772091094154,78.625873031029,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0,0.0,2,9.0,33.94946121642532,185.86412428984403,1,10.5,3.1753036012036593,8.566145984245864
8,1.0,1.0,0.0,0,0,0.0,4,33.75,24.787083371319266,194.97769179601462,0,0.0,0.0,0.0
24,0.0,1.0,0.5,1,30,30.0,3,50.333333333333336,30.029316291652624,238.63410957156862,0,0.0,0.0,0.0
1,1.0,1.0,1.0,0,0,0.0,2,47.5,27.87857418624017,165.35972903489616,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0,0,0.0,3,45.0,19.402821930159153,148.76668522129128,1,8.0,4.023910663475339,19.224457842918078
12,0.0,1.0,0.5,0,0,0.0,3,10.333333333333334,18.20389377534512,71.4593970485963,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0,0.0,1,14.0,15.988990104040381,51.60834461961291,1,9.0,10.568635091272771,12.608795306038262
15,0.0,1.0,0.5,1,12,12.0,5,24.4,16.83118852762959,114.78538998004903,0,0.0,0.0,0.0
9,0.0,1.0,0.0,0,0,0.0,3,16.666666666666668,33.5826333132352,158.91568658187714,0,0.0,0.0,0.0
7,0.0,1.0,0.5,1,23,23.0,1,161.0,3.0436646244581547,34.773885795869916,0,0.0,0.0,0.0
23,1.0,1.0,1.0,0,0,0.0,2,89.0,38.13420270473214,394.83321800910187,0,0.0,0.0,0.0
16,1.0,1.0,0.0,0,0,0.0,2,34.0,25.873672400528186,183.44231653247664,0,0.0,0.0,0.0
23,0.0,1.0,0.0,1,48,48.0,6,14.166666666666666,19.59290221303776,89.27827582384508,1,10.0,1.8925981419976305,12.587895668690603
17,1.0,1.0,1.0,0,0,0.0,2,40.0,40.21157450067216,246.79551938477138,1,11.0,2.714410910260969,19.31677631662614
4,1.0,1.0,0.5,1,17,17.0,5,18.6,17.140187983110685,108.6948330622412,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0,0.0,3,35.0,24.096420126256344,109.72628237331845,0,0.0,0.0,0.0
12,1.0,1.0,1.0,0,0,0.0,2,7.5,17.3843175513171,51.99076704792553,0,0.0,0.0,0.0
8,1.0,1.0,1.0,0,0,0.0,5,6.4,30.449117542825377,149.5534124643844,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0,0,0.0,3,10.666666666666666,4.310681540176904,35.66271899083581,0,0.0,0.0,0.0
6,0.0,1.0,0.0,1,18,18.0,3,9.0,9.034482266067032,27.60853205459895,0,0.0,0.0,0.0
3,1.0,1.0,1.0,1,17,17.0,6,15.333333333333334,22.827587025603375,131.62644665405927,0,0.0,0.0,0.0
13,1.0,1.0,1.0,1,24,24.0,4,33.25,26.793749099784286,162.6353467299391,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0,0.0,4,25.0,26.392872194890373,181.54331654566755,2,7.5,3.1848482729368497,17.66054886202463
21,0.0,1.0,0.5,0,0,0.0,4,21.5,13.67316091630805,61.53336937289675,0,0.0,0.0,0.0
1,1.0,1.0,1.0,1,116,116.0,2,35.5,9.788997900410314,89.71152383909565,1,10.5,3.7347768238756673,11.203122912539559
4,1.0,1.0,1.0,0,0,0.0,5,11.6,18.296270491851004,65.6559937601056,0,0.0,0.0,0.0
6,0.0,1.0,0.5,0,0,0.0,1,26.0,27.02963127379303,77.76536010443563,2,7.25,2.1887021553970945,5.890113363025646
1,1.0,1.0,1.0,0,0,0.0,2,47.0,29.01615616230493,210.92677491577737,1,6.5,6.919581092293525,27.202545875895183
13,1.0,1.0,1.0,0,0,0.0,2,17.5,13.459227790602245,117.1898774292207,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0,0,0.0,4,22.75,8.962494046522046,84.06694928766733,0,0.0,0.0,0.0
14,1.0,1.0,1.0,0,0,0.0,2,17.5,13.357753702356503,69.40261888490367,1,7.0,3.9903551004708575,16.389722061936858
14,0.0,1.0,0.5,1,18,18.0,2,16.0,7.4377599654795015,85.56492498780366,1,8.5,3.5030917023648946,18.123033188567632
21,1.0,1.0,1.0,0,0,0.0,1,32.0,11.785593004908613,29.67623488274192,0,0.0,0.0,0.0
18,1.0,1.0,0.0,0,0,0.0,3,24.333333333333332,29.51133385027148,203.07623209736536,0,0.0,0.0,0.0
2,0.0,1.0,0.5,2,22,16.5,3,37.333333333333336,12.775787285263846,178.09809584289619,0,0.0,0.0,0.0
3,0.0,1.0,0.5,1,18,18.0,3,23.666666666666668,26.097645815307562,214.1390932441751,0,0.0,0.0,0.0
7,1.0,1.0,1.0,2,24,22.5,2,20.5,1.7223665929554353,34.34874472192114,0,0.0,0.0,0.0
12,0.0,1.0,0.5,0,0,0.0,1,11.0,31.11255013565641,124.19339521111415,0,0.0,0.0,0.0
5,1.0,1.0,0.0,0,0,0.0,3,18.333333333333332,42.31582833878786,200.60894925551182,0,0.0,0.0,0.0
13,0.0,1.0,0.5,1,29,29.0,2,91.5,18.043397910091755,215.81227653276207,0,0.0,0.0,0.0
3,1.0,1.0,0.5,1,4,4.0,2,20.0,28.280294720820308,164.99295549534742,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0,0.0,4,8.25,12.650861760846379,61.91977209893323,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,47,47.0,5,18.8,15.773391087185255,95.81566886835971,1,10.0,3.2540227447922807,22.856149411244665
1,1.0,1.0,1.0,1,9,9.0,2,41.5,13.298085130171984,122.22048810141156,0,0.0,0.0,0.0
24,1.0,1.0,0.5,0,0,0.0,2,9.0,15.20285928205723,72.9746298519913,0,0.0,0.0,0.0
2,1.0,1.0,1.0,2,25,22.5,4,27.5,14.305608088104872,155.8502047911819,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0,0,0.0,3,23.0,29.739031628582026,166.78644564989813,0,0.0,0.0,0.0
13,1.0,1.0,1.0,1,12,12.0,4,23.25,24.014694863496413,148.537736362731,0,0.0,0.0,0.0
21,1.0,1.0,0.0,1,25,25.0,3,16.666666666666668,22.1669363088435,215.55841168761927,0,0.0,0.0,0.0
2,1.0,1.0,0.0,1,29,29.0,3,33.0,19.300522332685134,154.94623972484135,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0,0.0,1,76.0,33.10688142385722,285.6732378275491,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0,0.0,3,13.666666666666666,7.962360475937625,56.81720402560794,0,0.0,0.0,0.0
21,0.0,1.0,1.0,1,169,169.0,4,34.0,14.077583336890825,53.34693286790971,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0,0.0,3,37.333333333333336,12.756158221807356,166.91583126682588,0,0.0,0.0,0.0
6,0.0,1.0,0.5,0,0,0.0,4,12.5,19.938450532407195,103.47434282763615,2,10.5,3.403755073466646,27.963981482327767
6,1.0,1.0,1.0,2,26,23.5,2,16.5,4.176824723234165,80.57316853659171,0,0.0,0.0,0.0
3,1.0,1.0,1.0,0,0,0.0,2,22.5,16.275952195546907,43.808928542045855,1,11.0,4.781003239831694,17.754015074834655
24,0.0,1.0,0.5,0,0,0.0,6,19.0,26.62111330606467,144.15041352483385,0,0.0,0.0,0.0
